name,n,share
Amazon Renewed,1958,0.019224
Sony,1447,0.014207
GEEKRIA,1036,0.010172
Generic,898,0.008817
Skullcandy,839,0.008237
SAMSUNG,618,0.006068
Plantronics,576,0.005655
JVC,575,0.005645
Audio-Technica,518,0.005086
JBL,456,0.004477
Sennheiser,410,0.004025
NICKSTON,372,0.003652
Koss,335,0.003289
Jabra,334,0.003279
Art-Strap,308,0.003024
Panasonic,308,0.003024
defean,300,0.002945
Motorola,296,0.002906
Philips,283,0.002779
Diginex,269,0.002641
JOVERS,266,0.002612
Beats,265,0.002602
Maxjoy,258,0.002533
PHILIPS,255,0.002504
NewFantasia,255,0.002504
ALXCD,252,0.002474
YDYBZB,245,0.002405
SoundPEATS,243,0.002386
Linsoul,237,0.002327
Sennheiser Consumer Audio,233,0.002288
NewRang,226,0.002219
iFrogz,222,0.00218
Bose,209,0.002052
YunYiYi,202,0.001983
Filoto,197,0.001934
GRAPHICS & MORE,196,0.001924
Geiomoo,194,0.001905
eKids,189,0.001856
Shure,187,0.001836
KZ,186,0.001826
LG,182,0.001787
AIRSPO,178,0.001748
Monster,177,0.001738
AKG,173,0.001699
Apple,171,0.001679
Nokia,168,0.001649
JLab,165,0.00162
Sqrmekoko,164,0.00161
Maxell,163,0.0016
IKHISHI,159,0.001561
