product_id,label,confidence,form_factor,taxonomy_device_evidence,taxonomy_accessory_evidence,title_device_evidence,title_accessory_evidence,conflict,reason,title,store,leaf_categories,l3_categories,rating_number,gold_label,gold_form_factor,reviewer_note
B0B76KXDS2,DEVICE,0.98,EARBUD_INEAR,2,0,0,0,0,taxonomy_device=2,"Bone Conduction Headphones,Bluetooth 5.1 Open-Ear Wireless Headphones,Ear Hook Earphone Sports Stereo Earphones,Open Ear Wireless Headset,Waterproof/Sweatproof",Heayzoki,Earbud Headphones,Headphones & Earbuds,56,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，细分类目为 Earbud Headphones；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。
B01EHCE4VM,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,1,0,taxonomy_accessory=2;title_accessory=1,"Timibis Headphone Replacement Headband Cover for Bose, AKG, Sennheiser, Sony, Beats, Audio-Technica Comfort Cushion/Top Pad Protector (Black)",FHccte,Earpads,Earpads,78,ACCESSORY,NOT_APPLICABLE,标题明确为替换耳垫/耳罩，不是可独立使用的完整耳机；细分类目 Earpads 与此一致；判为 ACCESSORY。
B07D3B272F,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,1,0,taxonomy_accessory=2;title_accessory=1,"For Apple AirPods Case(The Top Cover Fits Well),Silicone Shock Proof Protective AirPods Cover, One comes with Keychain AirPods Case for AirPods Accessories.Black",Suonady,Cases,Cases,37,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；细分类目 Cases 与此一致；判为 ACCESSORY。
B07T9J8SZW,ACCESSORY,0.995,NOT_APPLICABLE,0,2,0,1,0,taxonomy_accessory=2;title_accessory=1,"CTYBB for Airpod Case,Silicone Airpods Case Cover with Fur Ball Keychain Compatible with Apple Airpods 2/1 (Front LED Visible) Light Purple",CTYBB,Cases,Cases,24855,ACCESSORY,NOT_APPLICABLE,标题明确为保护壳/收纳配件，不是可独立使用的完整耳机；细分类目 Cases 与此一致；判为 ACCESSORY。
B084TJCVJD,ACCESSORY,0.94,NOT_APPLICABLE,0,2,1,0,1,taxonomy_accessory=2;title_device=1;conflict,Adhiper Replacement Top Headband Repair Parts Compatible for Dr. Dre Studio 1.0 Studio (1st Gen) Wired Wireless Over-Ear Headphones (White),Adhiper,Earpads,Earpads,30,ACCESSORY,NOT_APPLICABLE,标题主体是替换件、线缆/收纳件、蓝牙接收件、头盔扬声器套件或手机外接听筒，并非完整耳机；判为 ACCESSORY。
B08D68XHDV,DEVICE,0.955,EARBUD_INEAR,2,0,2,1,1,taxonomy_device=2;title_device=2;title_accessory=1;conflict,LINPA World Wireless Earbuds Sports Bluetooth 5.0 Headphones True Wireless Stereo Deep Bass Built in Mic IPX7 Waterproof Earphones in Ear with Charging Case 54 Hours Playtime for Workout Running,L LINPA WORLD,Earbud Headphones,Headphones & Earbuds,19,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。
B07YDM371X,DEVICE,0.995,EARBUD_INEAR,2,0,4,0,0,taxonomy_device=2;title_device=4,"Wireless Earbuds, NYZ [2022 Upgraded] True Wireless Bluetooth Headphones in-Ear Earphones HiFi Stereo Cordless Earbuds with Microphone for iPhone,Android,Windows (Space C1)",NYZ,Earbud Headphones,Headphones & Earbuds,12014,DEVICE,EARBUD_INEAR,标题主体是完整耳机，后列保护壳/线缆/支架等随附配件（套装不改变主体标签）；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。
B0007CGOZQ,ACCESSORY,0.98,NOT_APPLICABLE,0,2,0,0,0,taxonomy_accessory=2,35534 3.5mm Stereo Jack Female to 2.5mm Stereo Jack Male Audio Adapter,Lindy,Adapters,Adapters,6,ACCESSORY,NOT_APPLICABLE,标题明确为线缆/转接配件，不是可独立使用的完整耳机；细分类目 Adapters 与此一致；判为 ACCESSORY。
B002ZXCHNS,AMBIGUOUS,0.5,NOT_APPLICABLE,0,0,0,0,0,insufficient_evidence,"NIXON Whip Headphones Black, One Size",NIXON,Headphones & Earbuds,Headphones & Earbuds,2,DEVICE,ON_EAR,标题中的便携/折叠/儿童/头带式线索或核验到的厂商规格表明耳垫压在耳廓上；判为 DEVICE / ON_EAR。 核验来源：https://www.eprice.com.hk/mobile/talk/4544/42534/1/rv/apple-iphone-4-16gb-launch 原自动标签为 AMBIGUOUS，本次复核后更正。
B09JSLH3H1,DEVICE,0.955,EARBUD_INEAR,2,0,2,1,1,taxonomy_device=2;title_device=2;title_accessory=1;conflict,"JLab Go Air Pop True Wireless Bluetooth Earbuds + Charging Case | Rose Red | Dual Connect | IPX4 Sweat Resistance | Bluetooth 5.1 Connection | 3 EQ Sound Settings Signature, Balanced, Bass Boost",JLab,Earbud Headphones,Headphones & Earbuds,25574,DEVICE,EARBUD_INEAR,标题描述可独立使用的完整耳机/耳塞设备，细分类目为 Earbud Headphones；判为 DEVICE；形态依据：标题含耳塞/入耳/开放式耳戴设备词，且其主体线索早于头戴式描述。
