product_id,analysis_review_count,source_review_count,title,store,price,average_rating,rating_number,form_factor,device_probability
B08XPWDSWW,71731,72566,TOZO T10 Bluetooth 5.3 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport White (2022 Upgraded),TOZO,21.99,4.3,349254,EARBUD_INEAR,0.995641
B07S764D9V,55201,55743,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Microphone and Call Controller, Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops - RP-TCM125-A (Blue)",Panasonic,13.99,4.3,136251,EARBUD_INEAR,0.96841
B08XNCHTCY,42910,43463,TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass White (2022 Upgraded),TOZO,26.99,4.4,249207,EARBUD_INEAR,0.998643
B01G8JO5F2,27070,27350,"Senso Bluetooth Headphones, Best Wireless Sports Earbuds w/Mic IPX7 Waterproof HD Stereo Sweatproof Earphones for Gym Running Workout Noise Cancelling Earphones Earbuds Noise Cancelling Headsets",Senso,24.96,4.1,42824,EARBUD_INEAR,0.996511
B0BS1QXF6M,18751,18937,"iJoy Bluetooth Headphones Over Ear, Wireless and Wired Foldable Headset Built-in Microphone, FM, Micro SD Card Slot - (Green) Adults Kids Men Women",iJoy,24.99,4.4,5662,OVER_EAR,0.976557
B0C72D4J46,14647,14989,occiam Wireless Earbuds Bluetooth Headphones 48H Play Back Earphones in Ear Waterproof with Microphone LED Display for Sports Running Workout Pink,occiam,25.49,4.3,46903,EARBUD_INEAR,0.994144
B0BMXP1S36,12631,12800,TOZO T12 Wireless Earbuds Bluetooth Headphones Premium Fidelity Sound Quality Wireless Charging Case Digital LED Intelligence Display IPX8 Waterproof Earphones Built-in Mic Headset for Sport Blue,TOZO,34.99,4.3,70079,EARBUD_INEAR,0.992517
B0BNZ2785V,11365,11790,TAGRY Bluetooth Headphones True Wireless Earbuds 60H Playback LED Power Display Earphones with Wireless Charging Case IPX5 Waterproof in-Ear Earbuds with Mic for TV Smart Phone Computer Laptop Sports,TAGRY,34.99,4.5,44742,EARBUD_INEAR,0.990917
B09S6ZWPS5,11283,11418,"Otium Bluetooth Headphones, Wireless Headphones IPX7 Waterproof Sports Earbuds 15H Playtime with Mic HD Stereo Sound Sweatproof in-Ear Earphoones Noise Cancelling Headsets Gym Running Workout Pink",Otium,23.91,4.3,31422,EARBUD_INEAR,0.998846
B08PFW1S1V,10837,10955,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",Soundcore,65.99,4.5,63247,OVER_EAR,0.947938
B091K4WYD1,10458,10548,"OneOdio Over Ear Headphone, Wired Bass Headsets with 50mm Driver, Foldable Lightweight Headphones with Shareport and Mic for Recording Monitoring Podcast Guitar PC TV - (Red)",OneOdio,32.99,4.5,60653,OVER_EAR,0.982168
B08J83TR22,9930,10048,"iLuv myBuds Wireless Earbuds, Bluetooth 5.3, Built-in Microphone, 20 Hour Playtime, IPX6 Waterproof Protection, Compatible with Apple & Android, Includes Charging Case & 4 Ear Tips, TB100 Yellow",iLuv,19.99,4.3,73389,EARBUD_INEAR,0.972021
B00PKTU83U,9309,9418,"Sony ZX Series Wired On-Ear Headphones with Mic, White MDR-ZX110AP",Sony,18.25,4.5,104579,ON_EAR,0.992182
B0C1ZHJRGB,9220,9681,Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Blue BMANI-VEAT00L,bmani,29.99,4.5,29423,EARBUD_INEAR,0.992605
B0BHWYQ47Y,9132,9227,"kurdene Bluetooth Wireless Earbuds, S8 Deep Bass Sound 38H Playtime IPX8 Waterproof Earphones Call Clear with Microphone in-Ear Bluetooth Headphones Comfortable for iPhone, Android",kurdene,20.99,4.3,63672,EARBUD_INEAR,0.998096
B0BMXMNG7G,8503,9184,"TOZO NC9 2022 Version Hybrid Active Noise Cancelling Wireless Earbuds, in Ear Headphones IPX6 Waterproof Bluetooth 5.3 Stereo Earphones, Immersive Sound Premium Deep Bass Headset Matte White",TOZO,44.99,4.3,29995,EARBUD_INEAR,0.997245
B08Q2D3XR1,8362,8455,"Panasonic Headphones, On-Ear Lightweight Earphones with Microphone and XBS for Extra Bass and Clear, Natural Sound, 3.5mm Jack for Phones and Laptops, Work from Home - RP-HT21M (Black & Silver)",Panasonic,,4.3,28620,ON_EAR,0.983791
B08K2S5B88,7955,8019,"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing(Black/Green)",ZIHNIC,27.99,4.4,73753,OVER_EAR,0.94097
B09PRC3WC5,7949,8221,"TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black",TOZO,15.29,4.3,57772,EARBUD_INEAR,0.991093
B09JF83P1H,7712,7812,"Samsung Galaxy Buds Plus, True Wireless Earbuds (Wireless Charging Case Included), White – US Version",SAMSUNG,,4.6,85945,EARBUD_INEAR,0.963185
B08TMJFSV3,7351,7438,"Soundcore Anker Life P2 True Wireless Earbuds, Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",Soundcore,39.99,4.2,117047,EARBUD_INEAR,0.978781
B08KRC18S8,7325,7380,"Galaxy Buds True Wireless Earbuds (Wireless Charging Case included), Silver â€“ US Version",SAMSUNG,,4.5,43999,EARBUD_INEAR,0.959205
B07S3ZY1HG,7121,7213,"Purity True Wireless Earbuds with Immersive Sound, Bluetooth 5.0 Earphones in-Ear with Charging Case Easy-Pairing Stereo Calls/Built-in Microphones/IPX5 Sweatproof/Pumping Bass for Sports,Workout,Gym",Purity,,4.2,32537,EARBUD_INEAR,0.985545
B08V47HYBW,7098,7160,"Jabra Elite 65t Earbuds – Alexa Built-in, True Wireless Earbuds with Charging Case, Copper Black – Bluetooth Earbuds Engineered for The Best True Wireless Calls and Music Experience",Jabra,84.95,3.3,56,EARBUD_INEAR,0.927251
B01D3QZ8EK,7086,7139,"Symphonized Wired Earbuds with Microphone - Noise Isolating Headphones with Wire, Ear Buds with Wire, Headphones with Microphone for Computer, Corded Earbuds, Travel Headphones 3.5mm Graduation Gift",Symphonized,29.99,4.2,16592,EARBUD_INEAR,0.98593
B09KQC7Z4S,6794,6851,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",Bose,344.78,4.7,62404,OVER_EAR,0.975097
B0B62FJF1J,6750,6825,"Bose SoundSport, Wireless Earbuds, (Sweatproof Bluetooth Headphones for Running and Sports), Black",Bose,,4.4,39355,EARBUD_INEAR,0.980463
B0BMQN7L6B,6745,6838,"Lady House Kindpack Wired Earbuds Earphones with Mic,Linen Gray,VSC-550BT-SBLGR",Victrola,,4.5,1582,EARBUD_INEAR,0.985084
B0C2Q17PND,6495,6743,bmanl Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Purple BMANI-VEAT00L,bmanl,28.49,4.5,19635,EARBUD_INEAR,0.989794
B0BZ6XH3LC,6467,6623,"ZIUTY Wireless Earbuds, Bluetooth 5.3 Headphones 50H Playtime with LED Digital Display Charging Case, IPX5 Waterproof Earphones with Mic for Android iOS Cell Phone Computer Laptop Sports (White)",ZIUTY,19.99,4.6,11237,EARBUD_INEAR,0.98921
B0BTCLFDHM,6371,6458,"SAMSUNG Galaxy Buds Live True Wireless Bluetooth Earbuds w/ Active Noise Cancelling, Charging Case, AKG Tuned 12mm Speaker, Long Battery Life, US Version, Mystic Red",SAMSUNG,97.99,4.5,8793,EARBUD_INEAR,0.933524
B0C3GSXJDJ,6300,6368,"Alphasonik ASE300BT Bluetooth Headphones, V4.0 Wireless Sport Headphones, Sweatproof Running Headset with Built in Mic for Workout Exercise IPX5 SplashProof, Ergonomically Designed for Extra Comfort",Alphasonik,19.95,3.8,6999,EARBUD_INEAR,0.984906
B09HLGPB3D,6295,6347,"Sony MDRXB50AP Extra Bass Earbud Headphones/Headset with Mic for Phone Call, Red",Sony,,4.5,21632,EARBUD_INEAR,0.990756
B07NK8G2HH,6129,6214,"Bluetooth Headphones, Hussar Magicbuds Best Wireless Sports Earphones with Mic, IPX7 Waterproof, HD Sound with Bass, Noise Cancelling, Secure Fit, up to 9 Hours Working time (Upgraded), Black",Hussar,29.99,4.2,8998,EARBUD_INEAR,0.99566
B01MR1X6ZU,6084,6156,"Phaiser BHS-530 Bluetooth Sport Headset with Mic, Wireless Earbuds for Running, Blackout",phaiser,,4.1,1699,EARBUD_INEAR,0.997512
B0BD99CPHB,6058,6131,"Audio-Technica ATH-M50xBT2 Wireless Over-Ear Headphones, Black",Audio-Technica,199.0,4.4,1362,OVER_EAR,0.986466
B07CQMZVZ6,6021,6058,Sony MDR7506 Professional Large Diaphragm Headphone,Sony,74.99,4.7,23019,OVER_EAR,0.444106
B0928R4WXG,5982,6061,"TOZO NC2 Hybrid Active Noise Cancelling Wireless Earbuds, in-Ear Detection Headphones, IPX6 Waterproof Bluetooth 5.2 Stereo Earphones, Immersive Sound Premium Deep Bass Headset, Black",TOZO,33.98,4.3,29217,EARBUD_INEAR,0.996945
B0816GVJVW,5951,6028,"Soundcore Upgraded, Anker Liberty Neo True Wireless Earbuds, Pumping Bass, IPX7 Waterproof, Secure Fit, Bluetooth 5 Headphones, Stereo Calls, Noise Isolation, One Step Pairing, Sports, Work Out",Soundcore,,4.4,27386,EARBUD_INEAR,0.971578
B00LP6CFEC,5919,5987,"SoundPEATS Wireless Headphones Stereo Earbuds Wireless Sport Earphones for Running with Mic (6 Hours Play Time, Bluetooth 4.0, IPX4 Sweatproof, Secure Ear Hooks Design) (Black/Green)",SoundPEATS,,3.9,10431,EARBUD_INEAR,0.982765
B00TKMQ3PK,5912,5991,Jaybird Bluebuds X Bluetooth Headphones - White (Discontinued by Manufacturer),Jaybird,48.88,4.0,2390,EARBUD_INEAR,0.912902
