brand_store,product_count,review_count,median_price,median_rating,mean_rating,median_reviews_per_product,review_share
TOZO,58,162934,35.99,4.3,4.343103448275862,36.0,0.055004722869830415
Sony,1342,135818,96.17500000000001,4.0,3.903874813710879,8.0,0.04585066008773262
Panasonic,294,76909,29.99,3.8,3.7615646258503403,9.0,0.02596363086400498
SAMSUNG,561,75992,24.99,3.9,3.8183600713012478,8.0,0.02565406176933085
Bose,152,75563,189.95,4.2,4.093421052631579,75.5,0.025509236096904243
Skullcandy,599,63884,34.83,4.0,3.953255425709516,10.0,0.021566534399304296
Soundcore,74,60848,64.95,4.3,4.2337837837837835,233.5,0.02054161425597752
Amazon Renewed,1876,50909,68.5,4.1,3.951865671641791,4.0,0.017186317383604384
SoundPEATS,240,49652,40.38,4.0,3.9429166666666666,21.0,0.016761968035725015
Sennheiser Consumer Audio,197,45624,149.97,3.9,3.89746192893401,83.0,0.015402159624222955
JLab,141,41896,24.99,4.0,3.9021276595744685,60.0,0.014143627906725515
JBL,437,40997,57.99,4.0,3.9560640732265444,15.0,0.013840135413691664
Senso,16,35971,24.96,4.05,3.96875,317.0,0.012143413200134226
JVC,546,34204,21.95,3.9,3.8384615384615386,6.0,0.011546893472447
Plantronics,383,33514,79.99,3.8,3.657963446475196,9.0,0.01131395707623637
Audio-Technica,481,32020,89.99,3.9,3.87006237006237,4.0,0.01080959914009335
Jabra,245,30619,75.975,3.6,3.5326530612244897,8.0,0.010336636979091764
Symphonized,89,28263,20.0,4.0,3.850561797752809,72.0,0.009541277342175464
LG,177,26773,73.5,4.0,3.8333333333333335,16.0,0.009038269761952506
phaiser,28,23762,,3.8499999999999996,3.6607142857142856,43.5,0.008021789343126114
Koss,245,23678,20.715,3.8,3.66734693877551,5.0,0.00799343186880482
Anker,38,22579,49.95,4.0,3.9499999999999997,134.0,0.007622421579767887
Aftershokz,52,21633,131.56,4.4,4.188461538461539,115.0,0.007303062404673312
Betron,37,20956,14.99,4.2,4.22972972972973,104.0,0.007074514665202881
Jaybird,54,20740,48.935,3.7,3.6722222222222225,70.0,0.007001595445519553
Avantree,105,20737,99.99,4.0,3.9723809523809526,31.0,0.007000582678579507
iJoy,39,20387,24.99,4.0,3.928205128205128,22.0,0.006882426535574114
occiam,30,20139,25.74,4.65,4.613333333333333,44.0,0.006798704468530293
Otium,48,19266,22.99,3.9,3.7624999999999997,45.0,0.006503989288976842
OneOdio,34,18554,34.49,4.0,4.105882352941176,8.5,0.006263625935205872
MEE audio,112,18456,39.99,3.7,3.6830357142857144,44.0,0.0062305422151643615
Sennheiser,293,17852,139.95,3.8,3.7750853242320814,9.0,0.006026638471235056
PHILIPS,243,17337,28.825,3.8,3.718518518518519,14.0,0.005852780146527121
Motorola,276,17203,24.99,3.7,3.6268115942028984,8.0,0.005807543223205056
TREBLAB,36,15684,54.97,4.0,3.933333333333333,91.5,0.005294745562561652
Bluedio,44,15075,25.99,4.0,3.9840909090909093,64.5,0.005089153873732269
iLuv,107,13196,19.99,3.8,3.7383177570093458,6.0,0.004454824180283318
Apple,163,12423,176.44,4.2,4.149693251533742,14.0,0.004193867898731408
TAGRY,6,12323,34.99,4.800000000000001,4.75,78.0,0.004160109000729867
Kinivo,16,11775,30.490000000000002,3.7,3.6,105.5,0.0039751102396814245
Klipsch,90,11398,99.97,3.7,3.7444444444444445,55.5,0.0038478391942156154
ELECDER,26,10931,16.99,4.4,4.361538461538462,119.5,0.00369018514054842
Philips,275,10889,33.045,3.7,3.6603636363636363,8.0,0.0036760064033877727
CozyPhones,44,10847,19.99,4.0,3.8909090909090907,17.0,0.003661827666227126
V-MODA,57,10782,139.92000000000002,3.9,3.7982456140350878,53.0,0.0036398843825261244
TRANYA,20,10552,39.99,4.3,4.3,151.5,0.0035622389171225807
kurdene,18,10289,20.99,4.25,4.022222222222222,18.5,0.0034734530153785284
Shure,126,10125,158.95,3.7,3.7365079365079366,13.0,0.0034180884226560015
EarFun,18,9780,54.99,4.3,4.344444444444445,94.5,0.003301620224550686
1MORE,60,9682,49.99,3.9,3.9016666666666664,28.5,0.003268536504509176
LilGadgets,5,9532,24.95,4.4,4.42,973.0,0.003217898157506865
Riwbox,54,9261,32.89,4.25,4.046296296296297,13.5,0.0031264115439226894
Rovking,10,8977,11.99,3.9,3.79,109.0,0.0030305362735983136
LASUNEY,24,8906,19.99,3.9,3.8791666666666664,143.5,0.0030065674560172196
Tribit,20,8850,53.155,4.1,4.135,64.5,0.002987662473136357
eKids,187,8806,20.74,4.4,4.286096256684492,14.0,0.002972808558015679
iClever,52,8785,22.99,4.45,4.348076923076923,38.5,0.0029657191894353553
ZIHNIC,14,8755,47.99,4.4,4.357142857142857,2.5,0.0029555915200348932
AILIHEN,73,8616,39.98,3.7,3.7136986301369865,25.0,0.0029086666518127516
sephia,14,8290,14.95,4.3,4.285714285714286,102.5,0.0027986126443277286
MUSICOZY,27,7906,29.99,4.3,4.303703703703704,5.0,0.002668978476001812
Edifier,140,7830,44.99,4.0,3.9271428571428566,8.0,0.002643321713520641
Alphasonik,7,7792,19.95,3.5,3.5,260.0,0.0026304933322800557
PASONOMI,9,7446,39.99,4.0,3.9444444444444446,38.0,0.0025136875451947246
Monster,155,7353,59.99,3.9,3.7574193548387096,15.0,0.0024822917700532917
Purity,4,7192,39.99,4.45,4.525,35.0,0.0024279399442708113
Soundbot,37,6993,19.99,3.6,3.5432432432432432,69.0,0.002360759737247745
PowerLocus,16,6816,28.99,4.4,4.4,81.0,0.002301006487785018
Donerton,12,6774,29.99,3.95,3.9499999999999997,43.0,0.0022868277506243708
Hussar,3,6709,29.99,4.0,4.0,453.0,0.0022648844669233693
Kirababy,4,6463,14.99,4.25,4.2,1346.5,0.002181837577839579
Motast,12,6440,35.99,3.95,3.9333333333333336,50.5,0.002174073031299225
noot products,7,6244,13.99,4.7,4.542857142857143,351.0,0.0021079055912162047
Picun,78,6221,31.490000000000002,4.0,3.980769230769231,11.5,0.0021001410446758505
Perytong,13,6206,35.98,4.3,4.3076923076923075,4.0,0.0020950772099756192
APEKX,7,6091,27.99,4.1,4.014285714285714,175.0,0.0020562544772738476
LUDOS,18,5637,19.47,4.35,4.361111111111111,28.0,0.0019029890803468523
Sentey,25,5624,,3.6,3.608,178.0,0.0018986004236066522
Sakar,152,5530,14.969999999999999,3.7,3.5440789473684213,4.0,0.0018668670594852038
Creative,87,5159,46.0,3.7,3.6965517241379313,18.0,0.0017416215478994876
FALWEDI,14,5113,26.945,4.0,3.9499999999999997,180.5,0.0017260924548187788
Monoprice,85,5053,35.375,3.7,3.6470588235294117,7.0,0.0017058371160178544
Yurbuds,106,4911,29.99,3.9,3.8056603773584903,24.5,0.0016578994808556665
Amazon Basics,39,4891,6.89,3.9,3.894871794871795,74.0,0.0016511477012553584
COMEXION,3,4889,38.99,4.3,4.233333333333333,2251.0,0.0016504725232953275
Behringer,9,4846,18.595,3.8,3.744444444444445,4.0,0.001635956197154665
PALOVUE,30,4796,25.99,4.1,4.023333333333333,10.0,0.0016190767481538946
Rowkin,35,4795,,3.6,3.5457142857142854,48.0,0.0016187391591738793
SHOKZ,6,4790,154.95,4.45,4.466666666666667,788.0,0.0016170512142738023
Beats,226,4758,258.135,3.9,3.8805309734513274,4.0,0.0016062483669133092
Sonitum,8,4684,38.97,4.45,4.4625,340.5,0.001581266782392169
Srhythm,15,4662,64.99,4.3,4.28,27.0,0.00157383982483183
SKYCABLE,69,4645,10.985,3.3,3.3057971014492753,7.0,0.001568100812171568
GOLREX,7,4638,31.740000000000002,4.5,4.428571428571429,85.0,0.0015657376893114603
YINYOO,91,4635,24.99,4.2,4.148351648351649,4.0,0.001564724922371414
BEBEN,14,4629,19.99,3.8,3.7214285714285715,48.0,0.0015626993884913217
Raycon,21,4577,119.99,4.0,3.8714285714285714,17.0,0.0015451447615305203
Hspro,8,4573,9.75,4.1,4.0875,376.5,0.0015437944056104589
Geekee,14,4557,,4.1,4.15,87.0,0.0015383929819302122
WINCASE,11,4513,23.49,4.1,3.9818181818181815,14.0,0.0015235390668095342
Snug,9,4463,22.99,3.9,3.9000000000000004,323.0,0.001506659617808764
Linsoul,182,4457,61.49,4.2,4.112637362637362,2.0,0.0015046340839286714
AMORNO,17,4252,29.99,3.9,3.8823529411764706,19.0,0.001435428343025513
Beyution,61,4240,12.99,3.6,3.680327868852459,6.0,0.001431377275265328
SOL REPUBLIC,53,4110,67.72,4.0,3.943396226415094,37.0,0.0013874907078633252
BRAINWAVZ,48,4028,,3.5,3.5104166666666665,30.5,0.0013598084115020617
Plugfones,16,3954,29.47,4.15,3.90625,12.5,0.0013348268269809216
Kidz Gear,6,3891,17.49,4.0,3.85,30.5,0.0013135587212399508
Sound Intone,92,3882,,3.4,3.490217391304348,20.0,0.0013105204204198122
BluePhonic,3,3881,,4.1,4.033333333333333,1783.0,0.0013101828314397968
SleepPhones,67,3850,99.95,3.7,3.656716417910448,7.0,0.0012997175730593191
Razer,36,3832,84.99,4.0,3.9916666666666663,46.5,0.0012936409714190418
GOgroove,40,3789,15.82,3.8,3.715,19.0,0.0012791246452783793
OFUSHO,3,3722,49.99,4.2,4.133333333333334,179.0,0.001256506183617347
Back Bay Audio,9,3636,49.99,4.3,4.222222222222222,148.0,0.0012274735313360218
HAYLOU,26,3615,,4.1,4.023076923076923,6.0,0.0012203841627556984
Maxell,129,3597,10.71,3.6,3.376744186046512,4.0,0.001214307561115421
MAXROCK,36,3580,13.99,3.6500000000000004,3.7138888888888886,13.5,0.001208568548455159
Jawbone,78,3575,,3.45,3.4179487179487182,6.0,0.001206880603555082
Coby,134,3527,19.99,3.4,3.3671641791044777,3.0,0.0011906763325143426
RCA,38,3501,17.17,3.7,3.6,8.5,0.0011818990190339419
ARTIX,18,3497,19.74,3.95,3.9722222222222223,65.0,0.0011805486631138802
WINONLY,4,3481,14.989999999999998,4.15,4.15,492.0,0.0011751472394336338
VERTEX STYLE,31,3450,9.969999999999999,3.4,3.490322580645161,8.0,0.0011646819810531561
AUSDOM,22,3434,49.99,3.9,3.9818181818181815,15.5,0.0011592805573729095
Etymotic Research,54,3347,90.43,3.8,3.714814814814815,18.5,0.001129910316111569
Woice,11,3255,17.99,4.3,4.254545454545454,28.0,0.0010988521299501515
MOING,12,3238,39.49,3.8499999999999996,3.8833333333333333,31.0,0.0010931131172898898
gorsun,62,3207,15.99,4.3,3.9951612903225806,11.0,0.001082647858909412
OKEEFE,3,3196,34.99,4.4,4.4,227.0,0.0010789343801292425
Tiksounds,11,3194,29.99,4.3,4.263636363636364,66.0,0.0010782592021692117
TUINYO,6,3170,35.98,4.4,4.333333333333333,13.5,0.001070157066648842
Pyle,60,3126,33.81,3.25,3.29,15.5,0.001055303151528164
LWZCAM,3,3084,11.49,4.4,4.366666666666667,748.0,0.001041124414367517
GoNovate,9,3078,23.99,4.1,3.9666666666666663,13.0,0.0010390988804874245
ZINGBIRD,7,3073,25.49,4.4,4.4,149.0,0.0010374109355873475
KZ,159,3033,32.99,4.1,4.037106918238994,4.0,0.0010239073763867311
Lavince,9,3020,19.99,4.2,3.9111111111111114,33.0,0.0010195187196465308
rockpapa,46,3005,15.989999999999998,4.15,4.1,6.5,0.0010144548849462998
DUDIOS,31,2967,,4.1,4.080645161290323,3.0,0.0010016265037057143
Altec Lansing,112,2964,30.795,3.5,3.5357142857142856,10.5,0.001000613736765668
Linklike,25,2951,36.99,4.2,4.1,47.0,0.0009962250800254677
BESTGOT,9,2926,11.99,4.1,4.0,11.0,0.0009877853555250826
LC-dolida,20,2915,24.985,4.2,4.2299999999999995,5.5,0.000984071876744913
beyerdynamic,124,2910,179.99,4.0,4.017741935483871,7.0,0.000982383931844836
AKG,166,2906,129.0,3.8,3.736746987951807,8.0,0.0009810335759247743
ISOtunes,9,2894,89.99,3.8,3.6999999999999997,145.0,0.0009769825081645896
Ultimate Ears,37,2886,49.99,3.4,3.4432432432432436,51.0,0.0009742817963244662
Bang & Olufsen,44,2839,199.99,3.8,3.85,31.0,0.000958415114263742
Kinganda,11,2795,19.99,4.2,4.072727272727272,13.0,0.0009435611991430641
GNMN,11,2787,26.99,4.9,4.790909090909091,60.0,0.0009408604873029409
MuGo,16,2775,17.99,3.9,3.8125,30.5,0.0009368094195427559
HIFIMAN,66,2742,299.0,3.8,3.8424242424242423,9.0,0.0009256689832022475
August,24,2729,45.95,3.9,3.9125,11.0,0.0009212803264620472
Generic,481,2714,15.0,3.6,3.4334719334719335,1.0,0.0009162164917618161
Paww,13,2709,59.99,3.7,3.776923076923077,51.0,0.0009145285468617391
SIMOLIO,28,2703,44.99,4.2,4.121428571428572,22.5,0.0009125030129816466
iFrogz,201,2691,23.705,3.8,3.727860696517413,4.0,0.0009084519452214618
Logitech,68,2625,94.0,3.5,3.4955882352941177,8.0,0.0008861710725404448
Voerou,4,2619,19.975,4.25,4.425,635.0,0.0008841455386603524
BlueAnt,55,2605,29.494999999999997,3.6,3.6454545454545455,7.0,0.0008794192929401367
Xiaomi,70,2594,32.24,4.0,3.9800000000000004,9.0,0.0008757058141599673
Bowers & Wilkins,32,2589,265.45500000000004,3.9,3.928125,31.0,0.0008740178692598901
Fulext,14,2570,19.99,4.45,4.292857142857143,3.0,0.0008676036786395974
MOVSSOU,13,2528,53.48,4.2,4.184615384615385,25.0,0.0008534249414789503
NoiseHush,51,2509,45.36,3.6,3.62156862745098,5.0,0.0008470107508586576
CAPOXO,10,2508,27.99,4.65,4.63,244.0,0.0008466731618786422
Kimwood,4,2502,17.49,4.2,4.15,378.5,0.0008446476279985497
NYZ,9,2483,21.99,4.0,3.922222222222222,25.0,0.000838233437378257
novlistve,7,2461,10.98,4.6,4.514285714285714,149.0,0.000830806479817918
PRTUKYT,5,2447,19.99,4.1,4.08,124.0,0.0008260802340977024
LIGHTIMETUNNEL,4,2343,23.99,4.1,4.15,22.0,0.0007909709801760999
HUOMU,3,2259,11.99,4.1,3.8333333333333335,4.0,0.0007626135058548057
comiso,5,2237,33.49,4.1,4.04,24.0,0.0007551865482944667
KLIM,3,2234,16.47,4.2,4.2,52.0,0.0007541737813544205
Lady house,62,2226,50.0,3.7,3.6048387096774195,7.0,0.0007514730695142972
MEBUYZ,4,2226,,3.95,3.9,539.0,0.0007514730695142972
ONANOFF,38,2216,28.49,4.15,4.097368421052631,18.5,0.0007480971797141432
SoundMAGIC,79,2203,35.16,3.8,3.7759493670886077,7.0,0.0007437085229739428
VPB,24,2186,10.99,4.0,3.7458333333333336,12.0,0.000737969510313681
Jxrev,8,2168,24.99,4.4,4.35,62.5,0.0007318929086734036
Tascam,6,2149,39.99,4.5,4.366666666666666,69.5,0.0007254787180531109
House of Marley,55,2128,59.99,3.9,3.8745454545454545,18.0,0.0007183893494727872
BÖHM,3,2110,,3.2,3.3333333333333335,11.0,0.00071231274783251
Status,9,2096,88.995,4.2,3.988888888888889,66.0,0.0007075865021122943
GEMDRUZY,3,2093,,4.0,3.8333333333333335,22.0,0.000706573735172248
NENOS,16,2079,21.99,4.5,4.38125,16.5,0.0007018474894520323
Actionpie,7,2060,,3.9,3.914285714285714,35.0,0.0006954332988317396
Sennheiser Pro Audio,19,2056,79.95,4.2,4.0736842105263165,13.0,0.0006940829429116779
Unisar,7,2055,49.99,3.7,3.6999999999999997,71.0,0.0006937453539316626
fojep,18,2052,34.19,4.2,4.133333333333334,16.5,0.0006927325869916163
MONODEAL,16,2048,69.99,4.3,4.30625,24.0,0.0006913822310715547
BlueParrott,10,2046,172.7,4.4,4.34,29.5,0.0006907070531115239
MuveAcoustics,8,2006,18.49,4.2,4.15,80.0,0.0006772034939109075
Langsdom,52,2004,25.82,3.7,3.6923076923076925,11.5,0.0006765283159508767
GGMM,35,2004,12.99,3.7,3.7628571428571425,26.0,0.0006765283159508767
FIIL,37,1963,68.245,4.2,4.167567567567567,3.0,0.0006626871677702451
Califone,54,1962,18.240000000000002,4.1,3.9333333333333336,2.5,0.0006623495787902296
TV Ears Inc,8,1951,138.985,3.6500000000000004,3.2875,93.5,0.0006586361000100601
DUOTEN,3,1924,34.99,4.1,4.0,695.0,0.0006495211975496442
Brookstone,33,1920,62.489999999999995,3.6,3.378787878787879,7.0,0.0006481708416295825
CXK,21,1845,29.99,4.3,4.276190476190476,18.0,0.0006228516681284269
Elgin,3,1838,24.95,4.3,4.266666666666667,649.0,0.0006204885452683191
Lanteso,27,1824,18.99,4.1,4.048148148148148,17.0,0.0006157622995481034
Xmythorig,6,1823,44.99,4.0,3.9499999999999997,65.0,0.000615424710568088
AIHOOR,6,1813,39.985,4.05,3.9499999999999997,90.5,0.0006120488207679339
Ordtop,14,1806,34.99,4.15,4.185714285714286,51.0,0.000609685697907826
Urbanears,147,1799,46.99,3.9,3.8789115646258505,4.0,0.0006073225750477182
mucro,28,1793,19.99,3.7,3.685714285714286,13.5,0.0006052970411676257
MIDOLA,24,1788,16.99,4.2,4.116666666666666,22.0,0.0006036090962675487
Cellet,68,1783,11.5,3.3499999999999996,3.105882352941176,2.0,0.0006019211513674717
EUQQ,21,1778,23.49,4.2,4.152380952380953,50.0,0.0006002332064673947
MINDBEAST,5,1770,30.990000000000002,3.9,4.0,88.0,0.0005975324946272713
PIONEER,138,1764,65.45,3.9,3.8391304347826085,3.5,0.000595506960747179
ARCTIC,17,1761,30.895,3.7,3.764705882352941,25.0,0.0005944941938071328
BESIGN,12,1761,43.99,3.6,3.5,23.5,0.0005944941938071328
Grado,25,1758,259.0,3.9,3.86,17.0,0.0005934814268670865
PocBuds,13,1755,28.99,4.7,4.607692307692307,100.0,0.0005924686599270403
Boean,6,1719,21.99,4.4,4.466666666666667,24.0,0.0005803154566464856
SONXTRONIC,6,1714,24.99,3.3499999999999996,3.466666666666667,98.5,0.0005786275117464086
9 DIGITAL,15,1713,49.875,3.8,3.76,25.0,0.0005782899227663932
BlackBerry,87,1702,19.75,3.7,3.581609195402299,3.0,0.0005745764439862237
Swimbuds,4,1700,50.0,4.15,4.025,362.5,0.0005739012660261929
RHA,26,1695,39.95,3.8,3.8153846153846156,58.0,0.0005722133211261158
Dascert,5,1694,27.99,4.1,4.08,62.0,0.0005718757321461004
RTUSIA,3,1682,29.99,4.3,4.466666666666666,80.0,0.0005678246643859155
TOKANI,7,1677,21.99,3.8,3.9,50.0,0.0005661367194858385
ANSTEN,7,1670,79.99,4.3,4.2,319.0,0.0005637735966257306
RIZIZI,5,1670,39.99,4.6,4.68,46.0,0.0005637735966257306
ANBES,11,1666,,4.1,4.090909090909091,120.0,0.000562423240705669
Mindkoo,11,1655,21.99,3.9,4.0181818181818185,66.0,0.0005587097619254995
SHARPER IMAGE,48,1647,79.0,3.3,3.252083333333333,4.0,0.0005560090500853763
HTC,39,1638,29.99,3.9,3.9179487179487182,9.0,0.0005529707492652376
Jam,54,1630,59.99,3.8,3.77037037037037,8.5,0.0005502700374251143
CASCHO,7,1630,32.99,4.5,4.514285714285714,63.0,0.0005502700374251143
EXFIT,13,1626,65.295,3.9,3.8999999999999995,29.0,0.0005489196815050527
DOQAUS,7,1602,24.49,4.2,4.1571428571428575,40.0,0.0005408175459846829
SMS Audio,46,1588,39.0,3.7,3.6869565217391305,6.0,0.0005360913002644672
POWMEE,11,1581,14.99,4.7,4.636363636363637,2.0,0.0005337281774043593
Phiaton,44,1577,69.99,3.7,3.5954545454545452,11.5,0.0005323778214842977
Jzones,5,1576,79.99,4.8,4.62,32.0,0.0005320402325042823
AMINY,12,1571,29.990000000000002,4.1,4.158333333333333,91.0,0.0005303522876042053
Soul Electronics,53,1566,57.989999999999995,3.6,3.6320754716981134,8.0,0.0005286643427041283
mifo,23,1551,94.495,4.0,3.930434782608695,15.0,0.0005236005080038971
GOOJODOQ,6,1550,29.99,3.5,3.5500000000000003,123.5,0.0005232629190238818
AGPTEK,30,1547,11.99,3.7,3.6533333333333333,8.0,0.0005222501520838355
AKG Pro Audio,9,1540,183.72,4.2,4.144444444444444,69.0,0.0005198870292237276
MIPEACE,8,1524,41.99,4.2,4.1625,29.5,0.0005144856055434811
WATAHATIC,7,1519,15.99,4.0,3.9285714285714284,49.0,0.0005127976606434041
LORELEI,17,1515,18.485,4.4,4.358823529411765,6.0,0.0005114473047233424
Nokia,161,1513,12.99,3.5,3.5136645962732924,3.0,0.0005107721267633116
UGREEN,13,1509,35.99,4.2,4.115384615384615,27.0,0.00050942177084325
Syba,22,1498,19.97,3.3,3.3681818181818177,5.0,0.0005057082920630805
Harman Kardon,24,1480,159.99,3.6500000000000004,3.7458333333333336,19.0,0.0004996316904228032
BASN,43,1474,53.99,4.2,3.934883720930232,7.0,0.0004976061565427107
Sentry Industries Inc.,111,1468,18.424999999999997,3.4,3.299099099099099,4.0,0.0004955806226626183
Galirity,6,1458,26.33,4.2,4.216666666666667,121.0,0.0004922047328624642
EverPlus,13,1450,19.49,4.2,4.161538461538462,39.0,0.000489504021022341
Tuitager,3,1450,26.99,4.0,4.1000000000000005,19.0,0.000489504021022341
TITACUTE,38,1447,13.99,4.2,4.155263157894737,15.5,0.0004884912540822948
Moondrop,33,1446,76.49,4.3,4.278787878787878,12.0,0.0004881536651022793
Marshall,22,1422,132.99,4.2,4.131818181818182,26.5,0.0004800515295819096
Samson,13,1422,29.494999999999997,4.0,4.053846153846154,18.0,0.0004800515295819096
STADOR,6,1421,25.49,4.5,4.516666666666667,165.5,0.00047971394060189416
Denon,80,1417,453.475,3.55,3.5737499999999995,7.0,0.0004783635846818325
Losei,9,1416,39.99,4.2,4.333333333333333,44.0,0.0004780259957018171
Silensys,5,1375,57.480000000000004,4.0,4.08,8.0,0.0004641848475211854
LBZJ,46,1360,,4.05,4.093478260869565,4.5,0.00045912101282095426
Kinboofi,46,1355,38.99,4.4,4.328260869565217,3.0,0.00045743306792087724
PSIER,24,1336,28.85,4.35,4.3,16.5,0.0004510188773005845
iKross,22,1336,,3.8,3.9181818181818184,9.0,0.0004510188773005845
esonstyle,19,1335,32.99,4.1,4.052631578947368,18.0,0.0004506812883205691
Zipbuds,19,1328,,3.4,3.3736842105263154,18.0,0.00044831816546046126
JustJamz,37,1314,24.99,4.0,3.918918918918919,12.0,0.0004435919197402455
MASTER & DYNAMIC,37,1308,171.41500000000002,4.0,4.010810810810811,15.0,0.0004415663858601531
BERIBES,4,1294,38.49,4.35,4.35,4.0,0.0004368401401399374
LOBKIN,30,1287,34.97,4.2,4.166666666666667,5.5,0.00043447701727982954
Scosche,68,1276,14.99,3.5,3.5647058823529414,4.5,0.00043076353849966003
Marsno,6,1275,,3.8499999999999996,3.7999999999999994,184.0,0.0004304259495196446
