group,rank,term,mean_product_term_share,mean_product_term_per_million,group_tfidf,product_count
EARBUD_INEAR,1,sound,0.01587141630202473,15871.41630202473,0.41124963115441887,33988
EARBUD_INEAR,2,great,0.013836610964545635,13836.610964545634,0.3585251024428528,33988
EARBUD_INEAR,3,good,0.01312812554189638,13128.12554189638,0.34016729724145944,33988
EARBUD_INEAR,4,quality,0.009554073107738382,9554.073107738383,0.24755881685735395,33988
EARBUD_INEAR,5,ear,0.008554088889357865,8554.088889357865,0.22164788785495831,33988
EARBUD_INEAR,6,work,0.006611743456645346,6611.743456645347,0.1713191189803374,33988
EARBUD_INEAR,7,like,0.006194866974349845,6194.866974349845,0.16051729157448036,33988
EARBUD_INEAR,8,love,0.005353332016879418,5353.332016879418,0.1387119949155355,33988
EARBUD_INEAR,9,just,0.00525462094816909,5254.62094816909,0.13615425905721756,33988
EARBUD_INEAR,10,price,0.00522709748209739,5227.09748209739,0.135441089226959,33988
EARBUD_INEAR,11,sound quality,0.00450578734191532,4505.787341915319,0.11675097843577674,33988
EARBUD_INEAR,12,ears,0.004127172274504996,4127.1722745049965,0.10694055548050856,33988
EARBUD_INEAR,13,phone,0.003999257399728935,3999.2573997289346,0.1036261099345173,33988
EARBUD_INEAR,14,pair,0.003970856269102071,3970.8562691020716,0.10289019864138488,33988
EARBUD_INEAR,15,fit,0.0037226084885495147,3722.6084885495147,0.09645776651028905,33988
EARBUD_INEAR,16,really,0.0036487118817877984,3648.7118817877986,0.09454300656095535,33988
EARBUD_INEAR,17,works,0.003577314063444358,3577.314063444358,0.09269299356273135,33988
EARBUD_INEAR,18,don't,0.0033783928492315944,3378.3928492315945,0.08753867876075919,33988
EARBUD_INEAR,19,nice,0.0033377191500662644,3337.7191500662643,0.08648476879701551,33988
EARBUD_INEAR,20,buds,0.0032757328334981585,3275.7328334981585,0.08487862040167649,33988
EARBUD_INEAR,21,time,0.0031833840944777286,3183.3840944777285,0.08248574101794547,33988
EARBUD_INEAR,22,comfortable,0.003170146855267164,3170.146855267164,0.08214274643956287,33988
