group,rank,term,term_count,term_per_million,group_tfidf,product_count
PRICE_MISSING,1,sound,695281,15144.114794350893,0.007742099338672037,35718
PRICE_MISSING,2,great,467343,10179.331867743156,0.007529287683755119,35718
PRICE_MISSING,3,good,430146,9369.133346561835,0.007484856664940356,35718
PRICE_MISSING,4,quality,387555,8441.446564949509,0.0074289999805709815,35718
PRICE_MISSING,5,ear,342877,7468.302238005426,0.007363383177721343,35718
PRICE_MISSING,6,like,255078,5555.927047500847,0.007204919278649367,35718
PRICE_MISSING,7,just,239162,5209.256088468616,0.00717040451763912,35718
PRICE_MISSING,8,pair,210931,4594.34858379163,0.007103114113424243,35718
PRICE_MISSING,9,sound quality,207388,4517.177485032445,0.0070940394069924865,35718
PRICE_MISSING,10,price,207351,4516.371577424741,0.00709394382292956,35718
PRICE_MISSING,11,work,199154,4337.830370388601,0.007072336221798597,35718
PRICE_MISSING,12,really,175165,3815.319083870369,0.007003578014976471,35718
PRICE_MISSING,13,ears,172167,3750.018786359774,0.006994329835380306,35718
PRICE_MISSING,14,noise,163320,3557.3197429721045,0.00696606934651789,35718
PRICE_MISSING,15,music,161402,3515.5432350917436,0.006959740849525238,35718
PRICE_MISSING,16,phone,157441,3429.26755849419,0.006946429903059553,35718
PRICE_MISSING,17,battery,155684,3390.9978377716698,0.006940417927392945,35718
PRICE_MISSING,18,fit,154745,3370.5452095653827,0.00693717704501968,35718
PRICE_MISSING,19,don't,151745,3305.2013494813987,0.006926689412685689,35718
PRICE_MISSING,20,time,149524,3256.825111732556,0.006918790621763181,35718
PRICE_MISSING,21,comfortable,148838,3241.883149060018,0.0069163271929934995,35718
PRICE_MISSING,22,bass,147744,3218.054421416058,0.006912375045536262,35718
PRICE_MISSING,23,better,142896,3112.4587435203393,0.006894501687800956,35718
PRICE_MISSING,24,love,137408,2992.923042140038,0.006873522003595483,35718
PRICE_MISSING,25,i'm,130164,2835.13940132391,0.006844508341151614,35718
PRICE_MISSING,26,buds,124690,2715.9086379573337,0.006821491868013268,35718
PRICE_MISSING,27,i've,121588,2648.3430866304934,0.006807996094499006,35718
PRICE_MISSING,28,bluetooth,120087,2615.6493753018067,0.006801341628856995,35718
PRICE_MISSING,29,it's,117422,2557.6022462605342,0.006789319150406874,35718
PRICE_MISSING,30,volume,115091,2506.8300669752784,0.0067785775690548805,35718
PRICE_MISSING,31,hear,107453,2340.4645992014543,0.006741790684013264,35718
PRICE_MISSING,32,little,102644,2235.7183914868274,0.006717262272313392,35718
PRICE_MISSING,33,case,101083,2201.717802956461,0.006709052682656212,35718
PRICE_MISSING,34,right,99995,2178.0197630326693,0.006703255363438166,35718
PRICE_MISSING,35,working,97301,2119.3409766772515,0.006688624668933984,35718
PRICE_MISSING,36,life,97107,2115.1154070584876,0.006687555499881434,35718
PRICE_MISSING,37,set,95357,2076.9981553428297,0.006677813252620482,35718
PRICE_MISSING,38,got,95297,2075.69127814115,0.006677476070931978,35718
PRICE_MISSING,39,nice,94825,2065.41051082127,0.006674816147382703,35718
PRICE_MISSING,40,long,92226,2008.8009467018449,0.006659928268273974,35718
PRICE_MISSING,41,best,91944,2002.6586238539503,0.006658287719308015,35718
PRICE_MISSING,42,headset,91218,1986.845409713626,0.006654040915913295,35718
PRICE_MISSING,43,charge,90615,1973.7112938367452,0.006650487837125029,35718
PRICE_MISSING,44,recommend,85777,1868.3334288079734,0.006621094116966241,35718
PRICE_MISSING,45,battery life,85570,1863.8247024621785,0.006619799764100831,35718
PRICE_MISSING,46,works,85191,1855.5695948049017,0.006617421774935893,35718
PRICE_MISSING,47,easy,85052,1852.5419959543437,0.006616546984007382,35718
PRICE_MISSING,48,months,84243,1834.9209350183628,0.006611427026772663,35718
PRICE_MISSING,49,pretty,80074,1744.1147507883193,0.00658423752496514,35718
PRICE_MISSING,50,head,77245,1682.4954907291221,0.00656496861144122,35718
PRICE_MISSING,51,did,72415,1577.2918759939073,0.006530378586393984,35718
