group,rank,term,term_count,term_per_million,group_tfidf,product_count
$100-199,1,sound,110009,15047.883920818495,0.009868142355121963,921
$100-199,2,great,57997,7933.279311290078,0.009367100281173917,921
$100-199,3,quality,56428,7718.659326818223,0.009345634954130787,921
$100-199,4,good,52334,7158.650265997464,0.009286684906021641,921
$100-199,5,noise,50638,6926.658236893408,0.009260900671524084,921
$100-199,6,ear,42217,5774.768568800683,0.00911854933715025,921
$100-199,7,like,41325,5652.753893116238,0.009101835169377112,921
$100-199,8,just,38217,5227.617556762814,0.009040640451571727,921
$100-199,9,music,32396,4431.3760464947045,0.008911307892416783,921
$100-199,10,sound quality,29578,4045.9081585140257,0.008840081768804027,921
$100-199,11,better,26670,3648.1293727624943,0.008759082151459756,921
$100-199,12,work,26620,3641.289985112021,0.008757613452869961,921
$100-199,13,really,26333,3602.0318999983037,0.008749129390628321,921
$100-199,14,pair,25953,3550.0525538547063,0.008737752748652593,921
$100-199,15,ears,25446,3480.7011630789066,0.00872231174086252,921
$100-199,16,bass,25183,3444.7259840374163,0.008714180280079961,921
$100-199,17,comfortable,24386,3335.7061448888708,0.008689009663211933,921
$100-199,18,battery,24093,3295.6273332570972,0.008679548870612777,921
$100-199,19,hear,23593,3227.2334567523635,0.008663135291509782,921
$100-199,20,don't,22738,3110.2799279292685,0.008634244993954888,921
$100-199,21,time,22396,3063.498516400031,0.008622383514524054,921
$100-199,22,bose,22157,3030.806243430768,0.00861398633611593,921
$100-199,23,price,20605,2818.5116507600746,0.00855714912313038,921
$100-199,24,i'm,20200,2763.1126107912405,0.008541612230344527,921
$100-199,25,i've,19065,2607.858511125495,0.008496351711269714,921
$100-199,26,buds,18884,2583.0999278307813,0.008488885680108419,921
$100-199,27,it's,18645,2550.407654861519,0.008478916830453752,921
$100-199,28,case,18612,2545.893659012206,0.008477530347808035,921
$100-199,29,love,18321,2506.088422886451,0.008465196583170081,921
$100-199,30,best,18245,2495.692553657732,0.008461943126485492,921
$100-199,31,fit,18069,2471.6179091280655,0.0084543564730529,921
$100-199,32,phone,17956,2456.1608930379957,0.008449446443063882,921
$100-199,33,volume,16398,2243.045573849246,0.008378407511939676,921
$100-199,34,audio,15444,2112.550057478214,0.008331495258111696,921
$100-199,35,life,15325,2096.272314870087,0.008325441235882025,921
$100-199,36,set,14866,2033.4867362387415,0.00830164123804198,921
$100-199,37,right,14658,2005.0348836127725,0.008290613064541735,921
$100-199,38,head,14597,1996.690830679195,0.008287349151134162,921
$100-199,39,little,13754,1881.378754892214,0.008240791024242435,921
$100-199,40,listening,13608,1861.4077429528318,0.008232438506530016,921
$100-199,41,hours,13240,1811.0698498453478,0.008210981390684267,921
$100-199,42,long,13218,1808.0605192791395,0.008209679801188264,921
$100-199,43,bluetooth,12998,1777.9672136170566,0.008196543451106241,921
$100-199,44,battery life,12944,1770.5806749545454,0.008193285090110225,921
$100-199,45,got,12603,1723.936051178317,0.008172389793915002,921
$100-199,46,headset,12421,1699.040680130594,0.008161004858252545,921
$100-199,47,amazing,12229,1672.7774315527763,0.00814881211708751,921
$100-199,48,way,12008,1642.547338137684,0.008134538510784037,921
$100-199,49,wear,11993,1640.4955218425418,0.008133560214857952,921
$100-199,50,cancelling,11796,1613.548334499677,0.008120597133878369,921
$100-199,51,want,11750,1607.2560978612414,0.008117539049171878,921
$100-199,52,sony,11705,1601.1006489758154,0.008114535837966475,921
$100-199,53,nice,11485,1571.0073433137327,0.00809968526438694,921
$100-199,54,bit,11312,1547.3430620430947,0.0080878061242072,921
$100-199,55,cancellation,11305,1546.3855477720285,0.008087321649262093,921
$100-199,56,did,11214,1533.937862248167,0.008080996031842503,921
$100-199,57,tried,11194,1531.2021071879776,0.008079598906785983,921
$100-199,58,recommend,11187,1530.2445929169114,0.008079109323217737,921
$100-199,59,new,11004,1505.2124341161787,0.00806620033133131,921
$100-199,60,noise cancelling,10965,1499.8777117488096,0.008063421494536795,921
$100-199,61,day,10732,1468.0061652976037,0.008046610972752066,921
$100-199,62,need,10688,1461.9875041651871,0.008043395520335117,921
$100-199,63,sounds,10684,1461.440353153149,0.008043102550371438,921
$100-199,64,noise cancellation,10516,1438.4600106475586,0.008030697721473587,921
$100-199,65,works,10468,1431.8941985031042,0.008027117070552064,921
$100-199,66,listen,10434,1427.2434149007822,0.008024570828285246,921
$100-199,67,feel,10410,1423.9605088285552,0.008022768480341195,921
$100-199,68,pretty,10374,1419.0361497202143,0.00802005715228734,921
$100-199,69,wireless,10261,1403.5791336301445,0.008011485065134728,921
$100-199,70,app,10206,1396.0558072146239,0.00800727859498234,921
$100-199,71,excellent,10201,1395.3718684495764,0.008006895065181542,921
$100-199,72,say,10045,1374.0329789800996,0.007994833540019846,921
$100-199,73,easy,9770,1336.4163469024961,0.007973107790464696,921
$100-199,74,make,9749,1333.5438040892973,0.007971423681589544,921
$100-199,75,charge,9714,1328.756232733966,0.007968608755500286,921
$100-199,76,far,9660,1321.3696940714547,0.007964245769138845,921
$100-199,77,years,9560,1307.6909187705078,0.00795610137464029,921
$100-199,78,working,9410,1287.1727558190878,0.007943723637771223,921
$100-199,79,can't,9293,1271.1685887169801,0.00793393125188047,921
$100-199,80,think,9258,1266.381017361649,0.007930977938720819,921
$100-199,81,lot,9244,1264.4659888195163,0.00792979348605896,921
$100-199,82,worth,9108,1245.8628544102287,0.007918193119185115,921
$100-199,83,left,9096,1244.2214013741152,0.00791716125450193,921
$100-199,84,does,9003,1231.5001403442348,0.007909117839864022,921
$100-199,85,tv,8956,1225.0711159527896,0.007905021226614135,921
$100-199,86,people,8855,1211.2555528988332,0.00789614464007071,921
$100-199,87,issue,8689,1188.548785899262,0.007881333083667818,921
$100-199,88,problem,8666,1185.4026675800442,0.007879258591790906,921
$100-199,89,overall,8569,1172.134255538126,0.007870448644737021,921
$100-199,90,canceling,8522,1165.7052311466807,0.007866143975914315,921
$100-199,91,going,8440,1154.4886353999045,0.007858576545377628,921
$100-199,92,clear,8427,1152.7103946107816,0.007857370082788015,921
$100-199,93,high,8398,1148.7435497735069,0.00785467202267589,921
$100-199,94,cable,8384,1146.8285212313745,0.007853366174502194,921
$100-199,95,months,8125,1111.4004932019222,0.00782880648357411,921
$100-199,96,loud,8010,1095.6699016058335,0.007817649559154045,921
$100-199,97,they're,7913,1082.4014895639152,0.007808113685728145,921
$100-199,98,thing,7900,1080.6232487747923,0.007806826807523247,921
$100-199,99,different,7887,1078.8450079856689,0.007805537809925911,921
$100-199,100,noise canceling,7886,1078.7082202326596,0.007805438568278808,921
$200+,1,sound,64091,15002.46604015748,0.01104748416626715,587
$200+,2,noise,34351,8040.906070204079,0.010476554288203557,587
$200+,3,quality,32596,7630.094444539377,0.010428547631138239,587
$200+,4,great,31128,7286.463979311012,0.010386362847987498,587
$200+,5,good,27938,6539.746551464631,0.010287386401643029,587
$200+,6,bose,25804,6040.218341112225,0.010214647798920735,587
$200+,7,like,24346,5698.928682867704,0.010161404501860438,587
$200+,8,just,22177,5191.207648071842,0.010075983875631215,587
$200+,9,ear,20806,4870.283010586768,0.010017566233118183,587
$200+,10,music,19812,4637.606796392629,0.009972752562464446,587
$200+,11,better,16678,3903.9978876557775,0.009815117666046935,587
$200+,12,sound quality,16258,3805.6839943343107,0.00979176922280267,587
$200+,13,bass,15572,3645.1046352425815,0.009752304352240278,587
$200+,14,really,15338,3590.329751820621,0.009738443781949813,587
$200+,15,pair,14927,3494.122584784614,0.00971357904932997,587
$200+,16,comfortable,14672,3434.4320066965806,0.009697805485150838,587
$200+,17,work,13751,3218.8436834845065,0.009638458626684233,587
$200+,18,time,13247,3100.8670114987463,0.009604276006333104,587
$200+,19,don't,12980,3038.367465030099,0.009585636534602647,587
$200+,20,best,12430,2909.623080918654,0.009546001265418482,587
$200+,21,sony,12054,2821.6087383261033,0.009517882544008793,587
$200+,22,hear,11982,2804.7549280424228,0.00951239816385503,587
$200+,23,it's,11914,2788.8374405522804,0.00950718812663454,587
$200+,24,i've,11868,2778.069728426596,0.009503646800299774,587
$200+,25,ears,11759,2752.5549323026917,0.009495200297152085,587
$200+,26,i'm,11722,2743.8939464624673,0.009492315326194958,587
$200+,27,price,11409,2670.626687868136,0.009467539257944246,587
$200+,28,love,10836,2536.4984476938484,0.009420368349277572,587
$200+,29,phone,10788,2525.262574171395,0.009416304272831603,587
$200+,30,battery,10557,2471.1899328445884,0.009396489516912262,587
