group,rank,term,term_count,term_per_million,group_tfidf,review_count
negative_1_2,1,sound,276408,12449.157091699846,0.008565309229778453,637359
negative_1_2,2,ear,176096,7931.198688966948,0.008279886947127873,637359
negative_1_2,3,quality,161339,7266.5572487690715,0.008224478998973727,637359
negative_1_2,4,just,143133,6446.576083204082,0.008148678406193354,637359
negative_1_2,5,good,132310,5959.1183135177225,0.008098901649793856,637359
negative_1_2,6,work,125986,5674.291284459556,0.008067895488810387,637359
negative_1_2,7,pair,120414,5423.333630140753,0.008039258228575465,637359
negative_1_2,8,like,107684,4849.986368927839,0.007968521422152692,637359
negative_1_2,9,working,98650,4443.10348143393,0.00791304939364412,637359
negative_1_2,10,great,96949,4366.492036710979,0.00790203816836399,637359
negative_1_2,11,months,91532,4122.515437025955,0.007865638460876232,637359
negative_1_2,12,time,87058,3921.0106729515974,0.007833912357383661,637359
negative_1_2,13,phone,86821,3910.33641522124,0.007832186565201939,637359
negative_1_2,14,sound quality,84432,3802.738095736742,0.00781452239860244,637359
negative_1_2,15,don't,81164,3655.550440619397,0.0077895318602647,637359
negative_1_2,16,right,80299,3616.5916518566974,0.0077827486659082555,637359
negative_1_2,17,ears,76554,3447.9203640921755,0.007752512372351798,637359
negative_1_2,18,noise,69428,3126.9720071869733,0.0076906567997700815,637359
negative_1_2,19,charge,68969,3106.299077658558,0.007686457521855642,637359
negative_1_2,20,stopped,68569,3088.2834527971936,0.0076827751679373986,637359
negative_1_2,21,really,67062,3020.4095861320043,0.007668706299206253,637359
negative_1_2,22,battery,66999,3017.5721252163394,0.007668111288003103,637359
negative_1_2,23,left,66622,3000.592398784504,0.007664538931431934,637359
negative_1_2,24,volume,62184,2800.7090409476687,0.0076208963767143085,637359
negative_1_2,25,better,59033,2658.7909561022725,0.00758797562543521,637359
negative_1_2,26,got,58479,2633.8393156692837,0.007582006402753832,637359
negative_1_2,27,music,58300,2625.777323543823,0.007580065625760817,637359
negative_1_2,28,buds,58219,2622.1291595093967,0.007579185437937439,637359
negative_1_2,29,money,57834,2604.7891205803335,0.00757498501552368,637359
negative_1_2,30,hear,57395,2585.0169722949868,0.007570161187184376,637359
negative_1_2,31,i'm,56942,2564.6142771394916,0.00756514468855869,637359
negative_1_2,32,fit,55302,2490.7502152078987,0.007546643542293036,637359
negative_1_2,33,it's,54799,2468.0955669447335,0.007540859029856623,637359
negative_1_2,34,bluetooth,53904,2427.7856063174313,0.007530433975327532,637359
negative_1_2,35,worked,53462,2407.878340845624,0.007525221488560565,637359
negative_1_2,36,return,52595,2368.8294739586167,0.007514870628193597,637359
negative_1_2,37,stopped working,51977,2340.9953335478094,0.007507387811041885,637359
negative_1_2,38,did,51975,2340.9052554235027,0.007507363450656065,637359
negative_1_2,39,tried,51345,2312.530646266854,0.007499642895134287,637359
negative_1_2,40,case,47325,2131.473616410144,0.0074480287891720495,637359
negative_1_2,41,broke,47000,2116.835921210286,0.007443666190309442,637359
negative_1_2,42,price,46419,2090.6682260991547,0.007435791499079504,637359
negative_1_2,43,i've,45915,2067.968538773836,0.007428880191585882,637359
negative_1_2,44,bad,43055,1939.1568210150824,0.007388164752985368,637359
negative_1_2,45,charging,42048,1893.802485426598,0.007373181990772219,637359
negative_1_2,46,set,42026,1892.811626059223,0.007372850670509988,637359
negative_1_2,47,way,41701,1878.1739308593646,0.00736793585717554,637359
negative_1_2,48,disappointed,41459,1867.2744778182393,0.007364251267529798,637359
negative_1_2,49,headset,40093,1805.751118916681,0.0073430411185043684,637359
negative_1_2,50,month,39941,1798.9051814693626,0.0073406364423142115,637359
negative_1_2,51,didn't,39652,1785.8888925070269,0.007336039046531629,637359
negative_1_2,52,bass,39108,1761.3876426955715,0.0073272934967784096,637359
negative_1_2,53,stay,38321,1725.9419007808376,0.007314423659543876,637359
negative_1_2,54,weeks,37085,1670.2736199592225,0.007293667907102444,637359
negative_1_2,55,head,36731,1654.3297919569154,0.00728759574859345,637359
negative_1_2,56,life,36233,1631.9003390045168,0.007278953744491761,637359
negative_1_2,57,day,36127,1627.1261984162554,0.0072770989549698455,637359
negative_1_2,58,turn,35801,1612.4434641542437,0.007271360306723321,637359
negative_1_2,59,can't,35037,1578.0336206690383,0.007257704073551782,637359
negative_1_2,60,recommend,35021,1577.3129956745836,0.007257414906190969,637359
negative_1_2,61,cheap,34873,1570.6472144758789,0.007254733827969209,637359
negative_1_2,62,new,34382,1548.5330349585545,0.007245756963852858,637359
negative_1_2,63,audio,34186,1539.705378776486,0.0072421376788086725,637359
negative_1_2,64,days,33834,1523.8516288984854,0.007235585331204568,637359
negative_1_2,65,problem,33368,1502.8634259349965,0.007226805266921323,637359
negative_1_2,66,does,33175,1494.170886939388,0.00722313292452646,637359
negative_1_2,67,year,31957,1439.3133092365345,0.0071994524433237105,637359
negative_1_2,68,week,31875,1435.6201061399545,0.0071978259111612,637359
negative_1_2,69,bud,31640,1425.0359265339032,0.00719314122439649,637359
negative_1_2,70,purchased,31449,1416.433465662602,0.007189307966256643,637359
negative_1_2,71,comfortable,31429,1415.5326844195336,0.007188905232246041,637359
negative_1_2,72,long,31232,1406.6599891753117,0.007184924551468235,637359
negative_1_2,73,doesn't,31203,1405.3538563728628,0.0071843364436821495,637359
negative_1_2,74,battery life,30646,1380.2670987534134,0.007172933387329136,637359
negative_1_2,75,poor,30439,1370.9440128876574,0.007168642723929087,637359
negative_1_2,76,times,30399,1369.142450401521,0.007167810247124671,637359
negative_1_2,77,issue,29973,1349.9558099241683,0.007158875788130889,637359
negative_1_2,78,waste,29461,1326.8958101016221,0.0071479680987839665,637359
negative_1_2,79,reviews,29401,1324.1934663724176,0.007146677463890392,637359
negative_1_2,80,fine,29389,1323.6529976265767,0.007146419020869985,637359
