group,rank,term,term_count,term_per_million,group_tfidf,product_count,review_count
positive_4_5,1,sound,1172188,16356.909236448533,0.0075096298106908516,40618,2066340
positive_4_5,2,great,957218,13357.181566007153,0.007408028125664564,40618,2066340
positive_4_5,3,good,752967,10507.028631107762,0.007287663601769351,40618,2066340
positive_4_5,4,quality,673566,9399.05367292422,0.007231778912675568,40618,2066340
positive_4_5,5,ear,497456,6941.585002684503,0.007079785323562453,40618,2066340
positive_4_5,6,price,409703,5717.06482654717,0.0069824572091046495,40618,2066340
positive_4_5,7,like,409619,5715.8926763666,0.006982354378054968,40618,2066340
positive_4_5,8,sound quality,366796,5118.333305145912,0.006926978103771651,40618,2066340
positive_4_5,9,just,331703,4628.639658875272,0.006876544487563667,40618,2066340
positive_4_5,10,noise,317244,4426.8763319602995,0.006854193304909815,40618,2066340
positive_4_5,11,pair,315407,4401.242523844744,0.006851280940092625,40618,2066340
positive_4_5,12,comfortable,310955,4339.118564274549,0.006844151807944478,40618,2066340
positive_4_5,13,love,309031,4312.270743471975,0.006841039201752784,40618,2066340
positive_4_5,14,work,295960,4129.875802874035,0.006819365799736781,40618,2066340
positive_4_5,15,really,293099,4089.9529258905814,0.006814494306825965,40618,2066340
positive_4_5,16,battery,281111,3922.670350120701,0.006793551316580045,40618,2066340
positive_4_5,17,ears,278897,3891.7758203613985,0.006789585932615663,40618,2066340
positive_4_5,18,music,272146,3797.571226682514,0.00677729728909859,40618,2066340
positive_4_5,19,fit,263799,3681.095779572805,0.006761674991533731,40618,2066340
positive_4_5,20,bass,238901,3333.6648843844087,0.006711957332386941,40618,2066340
positive_4_5,21,better,225609,3148.1860724780645,0.006683248638037105,40618,2066340
positive_4_5,22,time,215579,3008.2257592505116,0.006660442503800987,40618,2066340
positive_4_5,23,phone,214216,2989.2062271538857,0.006657261709747425,40618,2066340
positive_4_5,24,buds,211059,2945.1529162008064,0.00664981589366926,40618,2066340
positive_4_5,25,don't,207974,2902.1043054025013,0.006642431507728208,40618,2066340
positive_4_5,26,i'm,194513,2714.2672389662016,0.006608874203272426,40618,2066340
positive_4_5,27,i've,194215,2710.1088966589423,0.006608105302808114,40618,2066340
positive_4_5,28,life,192048,2679.8702128340065,0.006602478263403648,40618,2066340
positive_4_5,29,easy,191494,2672.1396033097726,0.006601029502438165,40618,2066340
positive_4_5,30,case,187190,2612.08086072439,0.006589629272623822,40618,2066340
positive_4_5,31,best,180705,2521.588075950643,0.006571947301354129,40618,2066340
positive_4_5,32,hear,173283,2418.0202349960173,0.006550914570723914,40618,2066340
positive_4_5,33,nice,172966,2413.5967634812478,0.006549996300602155,40618,2066340
positive_4_5,34,battery life,171405,2391.814305958994,0.0065454497827178324,40618,2066340
positive_4_5,35,little,170072,2373.2133989268577,0.006541534433569724,40618,2066340
positive_4_5,36,long,164824,2299.9819209788816,0.006525815647004995,40618,2066340
positive_4_5,37,it's,163824,2286.0277521625753,0.006522763749497661,40618,2066340
positive_4_5,38,bluetooth,162864,2272.631750098921,0.006519816350721163,40618,2066340
positive_4_5,39,recommend,161562,2254.4634223000903,0.006515791059910777,40618,2066340
positive_4_5,40,volume,158053,2205.498243923671,0.0065047788808874326,40618,2066340
positive_4_5,41,set,154451,2155.2353278473356,0.006493217573197684,40618,2066340
positive_4_5,42,works,143613,2004.0000462162072,0.006456731197213054,40618,2066340
positive_4_5,43,far,140216,1956.5977347472144,0.006444726281485386,40618,2066340
positive_4_5,44,got,136924,1910.6606110039338,0.006432811649320394,40618,2066340
positive_4_5,45,amazing,136477,1904.4230975430448,0.006431171786916104,40618,2066340
positive_4_5,46,charge,132053,1842.6898546997056,0.006414646036048652,40618,2066340
positive_4_5,47,excellent,131518,1835.2243743829815,0.006412610136471951,40618,2066340
positive_4_5,48,great sound,126781,1769.123476700138,0.0063942139012844205,40618,2066340
positive_4_5,49,pretty,126673,1767.6164264679771,0.006393786511408758,40618,2066340
positive_4_5,50,perfect,121717,1698.4595658143628,0.006373771565107941,40618,2066340
positive_4_5,51,wear,119407,1666.225435848695,0.006364162427225453,40618,2066340
positive_4_5,52,right,117854,1644.5546116769713,0.006357597182800945,40618,2066340
positive_4_5,53,hours,116055,1619.4510619764362,0.006349882956191915,40618,2066340
positive_4_5,54,clear,114902,1603.3619053312348,0.0063448756818840785,40618,2066340
positive_4_5,55,listening,114897,1603.2921344871534,0.006344853858531568,40618,2066340
positive_4_5,56,head,114224,1593.9009788737792,0.00634190773457885,40618,2066340
positive_4_5,57,headset,113871,1588.9751572816228,0.0063403554945288,40618,2066340
positive_4_5,58,wireless,108398,1512.6039913499783,0.0063156533905444345,40618,2066340
positive_4_5,59,ear buds,107417,1498.9149517411815,0.006311094176625081,40618,2066340
positive_4_5,60,bit,106439,1485.267774638834,0.006306507268505325,40618,2066340
positive_4_5,61,day,102569,1431.2651413197284,0.006287933617007902,40618,2066340
positive_4_5,62,listen,102484,1430.0790369703423,0.00628751784770537,40618,2066340
positive_4_5,63,audio,99986,1395.221523267209,0.0062751426146575645,40618,2066340
positive_4_5,64,need,97786,1364.5223518713349,0.006263984896481976,40618,2066340
positive_4_5,65,sounds,97697,1363.2804308466837,0.006263528249450045,40618,2066340
positive_4_5,66,happy,96756,1350.1495579905393,0.006258674493189847,40618,2066340
positive_4_5,67,way,96687,1349.1867203422144,0.006258316729971852,40618,2066340
positive_4_5,68,stay,96684,1349.1448578357654,0.00625830116925825,40618,2066340
positive_4_5,69,definitely,94621,1320.3574075677252,0.006247484604853,40618,2066340
positive_4_5,70,overall,94003,1311.733731239248,0.00624419841480084,40618,2066340
positive_4_5,71,working,92169,1286.141785630142,0.006234317466792202,40618,2066340
positive_4_5,72,sound great,90204,1258.7218439061,0.006223510136678446,40618,2066340
positive_4_5,73,want,89964,1255.3728433901865,0.006222174053676133,40618,2066340
positive_4_5,74,charging,89838,1253.614618119332,0.006221471182561374,40618,2066340
positive_4_5,75,feel,89701,1251.702896991498,0.00622070583016306,40618,2066340
positive_4_5,76,cord,89340,1246.6654420488112,0.006218683486802816,40618,2066340
positive_4_5,77,small,89312,1246.2747253219547,0.006218526287813194,40618,2066340
positive_4_5,78,awesome,88921,1240.818645314779,0.0062163259521654645,40618,2066340
positive_4_5,79,say,88741,1238.3068949278438,0.006215309755641966,40618,2066340
positive_4_5,80,lot,86190,1202.7098102774462,0.006200682122279072,40618,2066340
positive_4_5,81,did,85638,1195.0071090908452,0.006197459968715164,40618,2066340
positive_4_5,82,different,85081,1187.2346370601626,0.006194187507741898,40618,2066340
positive_4_5,83,looking,84928,1185.0996492312677,0.0061932848580606124,40618,2066340
positive_4_5,84,new,84209,1175.0666018523434,0.0061890211007097976,40618,2066340
positive_4_5,85,can't,84017,1172.3874014396124,0.0061878763579732415,40618,2066340
positive_4_5,86,good sound,83395,1163.70790843587,0.006184149821328566,40618,2066340
positive_4_5,87,tried,81828,1141.8417259007178,0.006174636961163487,40618,2066340
positive_4_5,88,they're,81635,1139.1485713191707,0.006173452726842256,40618,2066340
positive_4_5,89,purchase,81016,1130.510940821877,0.0061696356086644874,40618,2066340
positive_4_5,90,think,80684,1125.8781567748633,0.006167576267636499,40618,2066340
positive_4_5,91,ones,79436,1108.4633540921131,0.006159758596514427,40618,2066340
positive_4_5,92,loud,79075,1103.4258991494264,0.006157474322786447,40618,2066340
positive_4_5,93,make,79070,1103.3561283053448,0.006157442611479833,40618,2066340
positive_4_5,94,worth,78291,1092.485830797442,0.006152477334310203,40618,2066340
positive_4_5,95,years,74647,1041.6368396308217,0.006128574755201513,40618,2066340
positive_4_5,96,bose,74412,1038.3576099589898,0.006126993472147962,40618,2066340
positive_4_5,97,year,73611,1027.1803207371283,0.006121565880678078,40618,2066340
positive_4_5,98,thing,73316,1023.063840936318,0.006119552060971787,40618,2066340
positive_4_5,99,come,73121,1020.3427780171384,0.006118216438729195,40618,2066340
positive_4_5,100,calls,73106,1020.1334654848938,0.006118113551069587,40618,2066340
negative_1_2,1,sound,276327,12547.151087402051,0.008594571956561863,32309,637359
