segment,price_band,product_count,review_count,product_share_within_segment,review_share_within_segment
-1,<$25,736,59399,0.10828306605855524,0.2756078322197476
-1,$25-49,460,28739,0.06767691628659703,0.1333472531551596
-1,$50-99,240,22464,0.03530969545387671,0.10423162583518931
-1,$100-199,135,25803,0.01986170369280565,0.11972438752783965
-1,$200+,52,3063,0.00765043401500662,0.014212138084632517
-1,,5174,76052,0.7612181844931587,0.35287676317743133
0,<$25,621,75775,0.21008119079837617,0.5304960864755878
0,$25-49,268,18079,0.09066305818673884,0.1265699603746902
0,$50-99,66,5469,0.022327469553450607,0.038288130609501675
0,$100-199,19,315,0.0064276048714479025,0.0022052955095982862
0,$200+,5,30,0.0016914749661705007,0.00021002814377126536
0,,1977,43170,0.668809201623816,0.30223049888685083
1,<$25,1297,312755,0.09608830937916728,0.18445876446746973
1,$25-49,1471,416930,0.10897910801600237,0.24589980230347125
1,$50-99,782,158063,0.05793450881612091,0.09322346785190218
1,$100-199,421,85747,0.03118980589716995,0.05057244704894286
1,$200+,211,51485,0.015631945473403467,0.03036517238288014
1,,9316,670548,0.690176322418136,0.3954803459453338
2,<$25,1127,14844,0.1031390134529148,0.31371388718642346
2,$25-49,398,1504,0.0364235380250755,0.03178561616332396
2,$50-99,182,633,0.016655989750160152,0.013377855738952173
2,$100-199,94,181,0.008602544156676124,0.0038252636473149184
2,$200+,65,108,0.005948567767914341,0.002282477756408902
2,,9061,30047,0.829230346847259,0.6350148995075766
3,<$25,1389,282587,0.10733328181747932,0.3276150705227938
3,$25-49,492,82232,0.03801870025500348,0.0953350383394508
3,$50-99,364,48979,0.028127656286222085,0.05678342789702258
3,$100-199,252,32866,0.019472992813538367,0.03810294496138231
3,$200+,254,20542,0.019627540375550576,0.023815210107610153
3,,10190,395352,0.7874198284522061,0.4583483081717403
