segment,brand_store,product_count,review_count,product_share_within_segment,review_share_within_segment
-1,Aftershokz,48,21603,0.007091150834687547,0.1002868920951479
-1,Avantree,42,10007,0.0062047569803516025,0.046455164986166045
-1,Sennheiser Consumer Audio,30,9853,0.004431969271679716,0.04574025588175218
-1,MUSICOZY,24,7903,0.0035455754173437733,0.036687835403784376
-1,Sony,161,7792,0.023784901758014478,0.03617254377657698
-1,Perytong,10,6202,0.0014773230905599055,0.028791339386849385
-1,CozyPhones,12,5588,0.0017727877086718866,0.025940987503017474
-1,SHOKZ,5,4199,0.0007386615452799527,0.01949287876255733
-1,SleepPhones,60,3842,0.008863938543359432,0.017835589475052458
-1,WINONLY,4,3481,0.0005909292362239622,0.016159731119900468
-1,MAXROCK,15,3231,0.002215984635839858,0.01499916439195588
-1,MOING,5,3107,0.0007386615452799527,0.014423523294895364
-1,Lavince,7,3018,0.001034126163391934,0.01401036153974709
-1,LC-dolida,14,2908,0.002068252326783868,0.01349971217945147
-1,Voerou,4,2619,0.0005909292362239622,0.012158097041947523
-1,Fulext,12,2567,0.0017727877086718866,0.011916699162535049
-1,Amazon Renewed,222,2433,0.032796572610429904,0.011294635396356749
-1,Pyle,21,2369,0.0031023784901758012,0.010997530314002933
-1,LIGHTIMETUNNEL,4,2343,0.0005909292362239622,0.010876831374296696
-1,VERTEX STYLE,18,2335,0.0026591815630078296,0.01083969323900247
0,LilGadgets,5,9532,0.001701258931609391,0.06679560488844041
0,eKids,142,8582,0.048315753657706705,0.06013846843816571
0,iClever,41,8314,0.013950323239197007,0.05826045520798296
0,ELECDER,17,8131,0.005784280367471929,0.05697808050229847
0,Sakar,86,5362,0.029261653623681525,0.037574279627760956
0,CozyPhones,29,5254,0.009867301803334467,0.03681746832604552
0,noot products,4,4819,0.0013610071452875127,0.033769200583025
0,Riwbox,11,4619,0.00374276964954066,0.032367698172440854
0,Snug,9,4463,0.003062266076896904,0.031274526292185224
0,Kidz Gear,6,3891,0.002041510717931269,0.027266229397914565
0,Woice,10,3241,0.003402517863218782,0.02271134656351609
0,BESTGOT,6,2909,0.002041510717931269,0.020384852561946408
0,gorsun,27,2284,0.00918679823069071,0.01600515752887095
0,ONANOFF,27,2152,0.00918679823069071,0.015080165937885413
0,NENOS,14,2077,0.004763525008506295,0.014554602533916359
0,Sonitum,6,1927,0.002041510717931269,0.013503475725978249
0,POWMEE,7,1576,0.0023817625042531474,0.011043838995403073
0,MIDOLA,10,1502,0.003402517863218782,0.010525283103486938
0,Califone,19,1426,0.006464783940115686,0.009992712187464963
0,SIMOLIO,6,1371,0.002041510717931269,0.009607299024554322
1,TOZO,49,162890,0.00363420603723207,0.0960930384018198
1,Soundcore,68,60842,0.005043387970036342,0.035892274801666894
1,Sony,420,59300,0.031150337461989173,0.034982608982920466
1,Bose,65,58371,0.004820885559593562,0.03443456777305313
1,SAMSUNG,227,50803,0.016836015723503673,0.029970008164575183
1,SoundPEATS,192,48771,0.014240154268337907,0.028771278629106476
1,Amazon Renewed,920,43272,0.0682340725357858,0.025527275816339533
1,Skullcandy,102,43153,0.007565081955054513,0.025457074627992696
1,Senso,15,35970,0.001112512052213899,0.02121963651122511
1,JBL,246,34333,0.018245197656307943,0.020253927726991708
1,Plantronics,232,32502,0.017206853074241638,0.019173773307974384
1,JLab,52,29689,0.00385670844767485,0.017514311603607516
1,Jabra,157,29326,0.011644292813172143,0.017300168482852034
1,LG,126,26608,0.009345101238596751,0.015696749743972137
1,phaiser,27,23759,0.002002521693985018,0.01401605070531547
1,Anker,30,21824,0.002225024104427798,0.012874543987238722
1,Jaybird,45,20712,0.003337536156641697,0.012218546328064902
1,iJoy,28,20272,0.0020766891641326116,0.011958978908967346
1,occiam,27,20128,0.002002521693985018,0.011874029571808147
1,Otium,43,19233,0.0031892012163465106,0.01134604584432562
2,SKYCABLE,27,3392,0.0024855012427506215,0.07183092626318241
2,Amazon Renewed,459,1117,0.04225352112676056,0.023654228961077464
2,VERTEX STYLE,6,1011,0.0005523336095001381,0.021409512515353012
2,JOVERS,115,804,0.01058639418208598,0.01702596247511753
2,Nite Ize,2,688,0.0001841112031667127,0.014569480326966245
2,ebasy,60,657,0.005523336095001381,0.013913006649443057
2,SEYOO,10,627,0.0009205560158335635,0.013277709542162551
2,Fouhurt,2,621,0.0001841112031667127,0.01315065012070645
2,Gardenite,1,615,9.205560158335634e-05,0.01302359069925035
2,MUJOY,6,584,0.0005523336095001381,0.01236711702172716
2,Nilone,1,560,9.205560158335634e-05,0.011858879335902758
2,Lady house,9,549,0.0008285004142502071,0.01162593706323324
2,Alphasonik,2,549,0.0001841112031667127,0.01162593706323324
2,Razer,2,491,0.0001841112031667127,0.010397695989157596
2,i-Blason,2,487,0.0001841112031667127,0.010312989708186861
2,Debado,2,455,0.0001841112031667127,0.009635339460420991
2,XBRN,3,453,0.00027616680475006904,0.009592986319935623
2,Anker,1,420,9.205560158335634e-05,0.008894159501927068
2,Fujimoto Dengyo,10,409,0.0009205560158335635,0.00866121722925755
2,Sony,218,386,0.020068121145171685,0.00817415611367583
3,Panasonic,163,73154,0.012636638499108458,0.08489339875318551
3,Sony,528,67675,0.04093340569036359,0.07853515543404091
3,JVC,293,28907,0.022714939142569193,0.03354585501487729
3,Symphonized,55,25878,0.004263896426079541,0.030030775800843897
3,SAMSUNG,144,24720,0.01116365609737189,0.028686945582999505
3,Sennheiser Consumer Audio,119,24215,0.009225521358244825,0.028100905634803115
3,Audio-Technica,266,22510,0.020621753624311963,0.02612229551267471
3,Koss,139,21511,0.010776029149546477,0.024962980842876306
3,Betron,30,20546,0.002325761686952477,0.023843122328005978
3,Skullcandy,349,20314,0.027056360958213815,0.02357389209437912
3,Bose,60,16937,0.004651523373904954,0.019654967529905445
3,Sennheiser,187,15685,0.014497247848670439,0.018202052648436377
3,PHILIPS,144,15431,0.01116365609737189,0.017907291961620764
3,OneOdio,11,14889,0.0008527792852159082,0.01727831443306147
3,MEE audio,65,13575,0.005039150321730366,0.015753450092605918
3,JLab,60,10381,0.004651523373904954,0.012046892479656872
3,Apple,82,9873,0.00635708194433677,0.011457371106025651
3,V-MODA,47,9391,0.0036436933095588806,0.010898022086162959
3,Rovking,9,8971,0.0006977285060857431,0.010410622525286753
3,Shure,89,8873,0.006899759671292348,0.010296895961082306
