moderator,level,treatment,control,n_a,n_b,mean_a,mean_b,difference,standard_error,welch_df,t_stat,p_value,ci_low,ci_high,estimate_label,ci_label
recency_band,10+ months,Mens E-Mail,No E-Mail,4477,4403,1.1603216439580077,0.3882398364751306,0.7720818074828771,0.28705735393133214,6808.1665434017505,2.689643017010354,0.007170287878431619,0.2093596911132748,1.3348039238524794,subgroup_effect_estimate,nominal_95pct_unadjusted
recency_band,10+ months,Womens E-Mail,No E-Mail,4521,4403,0.7982459632824596,0.3882398364751306,0.41000612680732895,0.22030885864669034,8438.861296413108,1.8610514771212918,0.06277165708612872,-0.02185324196983901,0.8418654955844969,subgroup_effect_estimate,nominal_95pct_unadjusted
recency_band,4-6 months,Mens E-Mail,No E-Mail,4673,4766,1.0075754333404665,0.5191879983214435,0.48838743501902304,0.24465679120671174,8471.139412236407,1.9962145036324868,0.04594253298756029,0.008800411983419465,0.9679744580546266,subgroup_effect_estimate,nominal_95pct_unadjusted
recency_band,4-6 months,Womens E-Mail,No E-Mail,4753,4766,1.1846707342730907,0.5191879983214435,0.6654827359516472,0.2834943469091333,7609.192916387926,2.3474285932232375,0.018928980005668748,0.10975562908039205,1.2212098428229023,subgroup_effect_estimate,nominal_95pct_unadjusted
recency_band,7-9 months,Mens E-Mail,No E-Mail,4688,4699,1.1810238907849828,0.5759374334964886,0.6050864572884942,0.2759663288751617,9181.145993769194,2.1926097279868366,0.028360515513876042,0.06413107692140263,1.1460418376555856,subgroup_effect_estimate,nominal_95pct_unadjusted
recency_band,7-9 months,Womens E-Mail,No E-Mail,4627,4699,0.8754268424465096,0.5759374334964886,0.29948940895002096,0.2795757953889733,9039.440606879,1.0712279599646382,0.28409554250933006,-0.2485424612677839,0.8475212791678258,subgroup_effect_estimate,nominal_95pct_unadjusted
recency_band,1-3 months,Mens E-Mail,No E-Mail,7469,7438,1.9911487481590573,0.9435506856681903,1.047598062490867,0.2976774840792253,12365.512120578149,3.5192384997854065,0.0004343429092003721,0.4641038010248284,1.6310923239569055,subgroup_effect_estimate,nominal_95pct_unadjusted
recency_band,1-3 months,Womens E-Mail,No E-Mail,7486,7438,1.3021506812717074,0.9435506856681903,0.3585999956035171,0.24185593084056406,14495.35884302688,1.4827008556590364,0.13817564695404247,-0.11546850302809425,0.8326684942351283,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,2) $100 - $200,Mens E-Mail,No E-Mail,4691,4836,1.127143466211895,0.42289495450785775,0.7042485117040373,0.2583950085999402,6577.841822906055,2.7254725836999016,0.006437942003036569,0.19771039512245447,1.2107866282856201,subgroup_effect_estimate,nominal_95pct_unadjusted
history_segment,2) $100 - $200,Womens E-Mail,No E-Mail,4727,4836,0.8812883435582823,0.42289495450785775,0.4583933890504246,0.2114820039924348,7679.428023699361,2.1675290587222844,0.03022516374576324,0.04383093829171669,0.8729558398091325,subgroup_effect_estimate,nominal_95pct_unadjusted
