email_cost,assigned_action,n,share
0.0,No E-Mail,375,0.005859375
0.0,Mens E-Mail,54811,0.856421875
0.0,Womens E-Mail,8814,0.13771875
0.05,No E-Mail,457,0.007140625
0.05,Mens E-Mail,54750,0.85546875
0.05,Womens E-Mail,8793,0.137390625
0.1,No E-Mail,512,0.008
0.1,Mens E-Mail,54732,0.8551875
0.1,Womens E-Mail,8756,0.1368125
0.25,No E-Mail,666,0.01040625
0.25,Mens E-Mail,54654,0.85396875
0.25,Womens E-Mail,8680,0.135625
0.5,No E-Mail,1951,0.030484375
0.5,Mens E-Mail,53559,0.836859375
0.5,Womens E-Mail,8490,0.13265625
1.0,No E-Mail,54715,0.854921875
1.0,Mens E-Mail,7103,0.110984375
1.0,Womens E-Mail,2182,0.03409375
